,startIdx,endIdx,length
0,432,877,445
1,1673,5027,3354
2,6600,11245,4645
3,12164,15657,3493
4,17287,26804,9517
5,28793,38310,9517
6,40464,49981,9517
7,50854,51506,652
8,55655,56998,1343
9,59577,60229,652
10,64052,64192,140
11,66669,71314,4645
12,74081,74526,445
13,75322,78676,3354
14,80408,81899,1491
15,82330,82360,30
16,83367,83412,45
17,86736,88227,1491
18,88658,88688,30
19,89695,89740,45
20,97519,101246,3727
21,103485,107212,3727
22,118881,119310,429
23,120892,120956,64
24,129860,129864,4
25,130322,130327,5
26,132922,132926,4
27,135084,135089,5
28,151460,151465,5
29,155549,155576,27
30,158557,158562,5
31,162244,163027,783
32,163638,165700,2062
33,165870,167752,1882
34,168430,168445,15
35,196304,196307,3
36,197215,197218,3
37,199215,199220,5
38,256028,256031,3
39,258558,258563,5
40,282469,282490,21
41,286673,286678,5
42,287357,287360,3
43,287415,287419,4
44,297093,297867,774
45,299778,301575,1797
46,309997,310004,7
47,323034,323261,227
48,327880,327883,3
49,328260,328263,3
50,337459,337464,5
51,337713,337718,5
52,342229,342237,8
53,347949,347954,5
54,369398,369405,7
55,371400,371411,11
56,372377,372380,3
57,378943,378949,6
58,383601,383607,6
59,383789,383792,3
60,384864,384869,5
61,384898,384904,6
62,387055,387063,8
63,387078,387086,8
64,387640,387644,4
65,392140,392145,5
66,394952,394959,7
67,395618,395637,19
68,401292,401295,3
69,409373,409381,8
70,420325,420340,15
71,421151,421158,7
72,422281,422287,6
73,422414,422419,5
74,422613,422616,3
75,424123,424129,6
76,425436,425444,8
77,430725,430729,4
78,435373,435384,11
79,435676,435681,5
80,444503,444521,18
81,448713,448724,11
82,450838,450841,3
83,457638,457643,5
84,462783,462786,3
85,464979,464986,7
86,477180,477185,5
87,493450,493454,4
88,509491,509497,6
89,510094,510101,7
90,518833,518838,5
91,526889,526903,14
92,528393,528398,5
93,550201,550207,6
94,553342,553865,523
95,554682,555132,450
96,557043,558623,1580
97,563637,565412,1775
98,567197,567203,6
99,573320,573323,3
100,578735,578762,27
101,591436,591441,5
102,598506,598512,6
103,599997,600001,4
104,627173,627179,6
105,635426,635430,4
106,637684,637688,4
107,637842,637849,7
108,640079,640084,5
109,644228,644546,318
110,644762,645080,318
111,646439,646444,5
112,651404,651409,5
113,653572,653578,6
114,653694,653711,17
115,665675,665680,5
116,667718,667721,3
117,684471,684482,11
118,688037,688040,3
119,697265,697272,7
120,705285,705306,21
121,710691,710706,15
122,721739,721744,5
123,733671,733682,11
124,754687,754690,3
125,754872,754875,3
126,769070,769076,6
127,769403,769409,6
128,770242,770247,5
129,788078,788085,7
130,798664,798672,8
131,805021,805025,4
132,808341,808356,15
133,813194,813638,444
134,814400,814415,15
135,814654,814785,131
136,815202,816399,1197
137,829025,833486,4461
138,833829,835138,1309
139,836290,836297,7
140,876328,876335,7
141,907963,907987,24
142,908712,908718,6
143,911544,911548,4
144,924896,924899,3
145,938202,938207,5
146,977768,977776,8
147,985481,985487,6
148,1025455,1025463,8
149,1035300,1037099,1799
150,1039010,1039258,248
151,1049034,1049037,3
152,1062159,1062164,5
153,1065260,1067165,1905
154,1068180,1072294,4114
155,1077239,1077247,8
156,1077408,1077416,8
157,1079579,1079582,3
158,1080178,1080181,3
159,1093267,1093270,3
160,1095518,1095522,4
161,1108759,1108767,8
162,1125488,1125492,4
163,1125502,1125510,8
164,1145095,1145110,15
165,1146259,1146264,5
166,1181252,1181258,6
167,1188720,1188726,6
168,1194514,1194519,5
169,1212566,1212577,11
170,1215456,1215459,3
171,1221185,1221190,5
172,1223287,1223294,7
173,1230149,1230155,6
174,1239374,1239378,4
175,1246321,1246326,5
176,1251970,1251973,3
177,1261516,1261530,14
178,1262312,1262318,6
179,1283252,1283255,3
180,1297176,1297179,3
181,1298787,1298793,6
182,1298835,1298852,17
183,1301012,1301015,3
184,1303787,1303815,28
185,1307479,1307492,13
186,1318112,1318126,14
187,1324047,1324052,5
188,1327898,1327901,3
189,1329825,1329831,6
190,1333836,1333842,6
191,1334126,1334139,13
192,1340717,1340723,6
193,1342238,1342241,3
194,1345075,1345078,3
195,1353766,1353772,6
196,1358052,1358138,86
197,1358735,1358754,19
198,1359560,1361784,2224
199,1362101,1362417,316
200,1362586,1362683,97
201,1364592,1365976,1384
202,1366450,1366551,101
203,1382327,1382336,9
204,1382352,1382356,4
205,1382382,1382386,4
206,1382835,1382840,5
207,1383557,1383566,9
208,1383699,1383703,4
209,1385642,1385646,4
210,1387723,1387731,8
211,1389410,1389414,4
212,1397189,1397203,14
213,1402025,1402032,7
214,1404005,1404009,4
215,1427842,1427849,7
216,1433710,1433713,3
217,1438821,1439264,443
218,1440728,1440734,6
219,1443150,1443260,110
220,1443483,1443593,110
221,1451064,1451069,5
222,1451521,1451530,9
223,1453055,1453058,3
224,1454999,1455002,3
225,1460267,1460271,4
226,1464057,1464063,6
227,1472339,1472347,8
228,1492001,1492008,7
229,1492037,1492043,6
230,1515571,1515575,4
231,1517069,1517073,4
232,1518235,1518257,22
233,1518742,1519804,1062
234,1520126,1520156,30
235,1521163,1521704,541
236,1521795,1522430,635
237,1522677,1523141,464
238,1523202,1523237,35
239,1532759,1532766,7
240,1535025,1535032,7
241,1559310,1559314,4
242,1564559,1564563,4
243,1568368,1568450,82
244,1591497,1591504,7
245,1592960,1592966,6
246,1593760,1593763,3
247,1600368,1600375,7
248,1601933,1601937,4
249,1603447,1603454,7
250,1604101,1604105,4
251,1611602,1611609,7
252,1611939,1611943,4
253,1611967,1611980,13
254,1617037,1617041,4
255,1621046,1621050,4
256,1627619,1627626,7
257,1628079,1628165,86
258,1629602,1629723,121
259,1630280,1630418,138
260,1631048,1632182,1134
261,1632694,1633149,455
262,1634995,1635081,86
263,1635512,1635516,4
264,1640013,1640019,6
265,1640689,1640692,3
266,1642150,1642154,4
267,1650516,1650528,12
268,1652739,1652745,6
269,1654822,1654830,8
270,1659794,1659799,5
271,1671091,1671097,6
272,1673283,1673294,11
273,1679401,1679415,14
274,1681100,1681104,4
275,1684459,1684465,6
276,1688256,1688265,9
277,1690264,1690269,5
278,1690381,1690387,6
279,1691681,1691686,5
280,1706623,1706628,5
281,1737412,1740369,2957
282,1740487,1742403,1916
283,1742926,1744831,1905
284,1746328,1746333,5
285,1757669,1757673,4
286,1794548,1794553,5
287,1801174,1801178,4
288,1818910,1818931,21
289,1825730,1825733,3
290,1834806,1834811,5
291,1843419,1843423,4
292,1846699,1846718,19
293,1854008,1854013,5
294,1854740,1854753,13
295,1856656,1856660,4
296,1857482,1857488,6
297,1869673,1869677,4
298,1871460,1871469,9
299,1882675,1882681,6
300,1889424,1889431,7
301,1893503,1893506,3
302,1902668,1902675,7
303,1905271,1905279,8
304,1920719,1920727,8
305,1930749,1931699,950
306,1932134,1932610,476
307,1932951,1933233,282
308,1934117,1934339,222
309,1935235,1935974,739
310,1937201,1937479,278
311,1937746,1937966,220
312,1939086,1939094,8
313,1939812,1939817,5
314,1955190,1955212,22
315,1956666,1960028,3362
316,1962649,1962671,22
317,1982741,1982746,5
318,1983653,1983659,6
319,1997046,1997049,3
320,2002692,2002703,11
321,2007166,2007171,5
322,2013715,2013719,4
323,2017941,2017952,11
324,2018218,2018222,4
325,2024552,2024559,7
326,2036657,2036666,9
327,2039509,2039512,3
328,2045569,2045574,5
329,2046817,2046822,5
330,2048346,2048352,6
331,2050070,2050079,9
332,2050462,2050468,6
333,2050537,2050540,3
334,2050954,2050961,7
335,2054372,2054377,5
336,2060777,2060782,5
337,2062482,2062488,6
338,2067257,2067264,7
339,2068006,2068010,4
340,2068647,2068654,7
341,2080758,2080765,7
342,2083274,2083280,6
343,2085002,2085010,8
344,2091162,2091173,11
345,2091328,2091336,8
346,2109287,2109290,3
347,2112998,2113003,5
348,2114016,2114021,5
349,2117101,2117105,4
350,2117436,2117819,383
351,2120735,2120809,74
352,2121937,2121940,3
353,2127379,2127762,383
354,2130639,2130713,74
355,2133925,2133930,5
356,2144445,2144453,8
357,2149267,2149270,3
358,2154081,2154092,11
359,2155026,2155030,4
360,2156640,2156644,4
361,2157191,2157196,5
362,2188098,2188103,5
363,2195124,2195135,11
364,2195475,2195480,5
365,2199957,2199965,8
366,2200122,2200130,8
367,2204447,2204451,4
368,2219688,2219694,6
369,2219782,2219786,4
370,2219914,2219917,3
371,2224461,2224469,8
372,2224719,2224727,8
373,2230838,2230843,5
374,2248773,2248783,10
375,2249654,2249660,6
376,2250691,2250695,4
377,2253324,2253329,5
378,2254257,2254261,4
379,2254811,2254816,5
380,2255630,2255635,5
381,2261951,2261956,5
382,2266899,2266905,6
383,2271703,2271708,5
384,2295134,2295139,5
385,2302639,2302653,14
386,2308859,2311929,3070
387,2312409,2316372,3963
388,2316475,2316967,492
389,2317567,2317572,5
390,2336822,2336828,6
391,2342037,2342040,3
392,2343113,2343117,4
393,2344036,2344044,8
394,2360186,2360192,6
395,2365212,2365219,7
396,2365793,2365799,6
397,2374993,2375000,7
398,2375862,2375869,7
399,2376895,2376899,4
400,2380258,2380262,4
401,2387155,2387166,11
402,2387330,2387345,15
403,2391049,2391052,3
404,2395329,2395335,6
405,2401324,2405785,4461
406,2406505,2406691,186
407,2407195,2407935,740
408,2411996,2412004,8
409,2416268,2416287,19
410,2425136,2425141,5
411,2430624,2430627,3
412,2432734,2432741,7
413,2433782,2433788,6
414,2435337,2435344,7
415,2438866,2438884,18
416,2439585,2439593,8
417,2439663,2439669,6
418,2451162,2451165,3
419,2454202,2454208,6
420,2454967,2454973,6
421,2461228,2461232,4
422,2464673,2464686,13
423,2467498,2467505,7
424,2474499,2474506,7
425,2474875,2474879,4
426,2481210,2481216,6
427,2482114,2482122,8
428,2482756,2482762,6
429,2485865,2485872,7
430,2488667,2488674,7
431,2500787,2500790,3
432,2521331,2521338,7
433,2530012,2530017,5
434,2531363,2531374,11
435,2535615,2535624,9
436,2537760,2537765,5
437,2538309,2538318,9
438,2540169,2540172,3
439,2540394,2540398,4
440,2544603,2544611,8
441,2549061,2549067,6
442,2578393,2578399,6
443,2579817,2579822,5
444,2580478,2580487,9
445,2582543,2582548,5
446,2584895,2584898,3
447,2587117,2587123,6
448,2598213,2598222,9
449,2600936,2600942,6
450,2601563,2601569,6
451,2601686,2601692,6
452,2607193,2607199,6
453,2610468,2615684,5216
454,2616997,2617266,269
455,2622253,2622258,5
456,2623037,2623042,5
457,2631329,2631343,14
458,2660084,2660097,13
459,2662742,2662748,6
460,2667276,2667288,12
461,2667327,2667331,4
462,2667552,2667567,15
463,2670747,2670752,5
464,2672338,2672343,5
465,2673111,2673119,8
466,2673378,2673383,5
467,2677178,2677183,5
468,2678656,2678659,3
469,2689883,2689890,7
470,2727920,2727923,3
471,2733107,2733112,5
472,2771041,2771048,7
473,2782331,2782338,7
474,2791964,2791968,4
475,2792469,2792476,7
476,2813047,2813052,5
477,2825355,2830891,5536
478,2845060,2845251,191
479,2846411,2846861,450
480,2848802,2850245,1443
481,2850852,2850963,111
482,2851743,2851843,100
483,2851971,2852162,191
484,2897811,2897815,4
485,2908773,2908780,7
486,2920791,2920794,3
487,2929693,2929696,3
488,2937472,2937489,17
489,2940472,2940478,6
490,2941122,2941125,3
491,2945990,2945995,5
492,2946470,2946477,7
493,2946865,2946878,13
494,2947012,2947016,4
495,2947106,2947114,8
496,2964209,2964212,3
497,2979605,2979608,3
498,2985753,2985761,8
499,2985771,2985779,8
500,2987469,2987474,5
501,2997469,2997474,5
502,3004408,3004414,6
503,3018209,3018235,26
504,3020264,3020268,4
505,3028706,3028709,3
506,3064447,3064470,23
507,3075804,3076026,222
508,3076750,3080669,3919
509,3080723,3080879,156
510,3086631,3086637,6
511,3136945,3136954,9
512,3149755,3149764,9
513,3149779,3149786,7
514,3150077,3150084,7
515,3150313,3150321,8
516,3163987,3163993,6
517,3169089,3169093,4
518,3171984,3171990,6
519,3178656,3178876,220
520,3185745,3185965,220
521,3188588,3188594,6
522,3188711,3188716,5
523,3210192,3210197,5
524,3218807,3220127,1320
525,3220851,3221037,186
526,3221757,3223790,2033
527,3224313,3224543,230
528,3225429,3226212,783
529,3241579,3241583,4
530,3268198,3268205,7
531,3301148,3301152,4
532,3314973,3314976,3
533,3315058,3315064,6
534,3340991,3340994,3
535,3352282,3352287,5
536,3353999,3354005,6
537,3418938,3418942,4
538,3434333,3434339,6
539,3437197,3437202,5
540,3438328,3438336,8
541,3457975,3457990,15
542,3467843,3467849,6
543,3490630,3490643,13
544,3493393,3494702,1309
545,3495265,3500221,4956
546,3500789,3500801,12
547,3516863,3516870,7
548,3517478,3517482,4
549,3530295,3530302,7
550,3549417,3549423,6
551,3597782,3600943,3161
552,3601464,3602500,1036
553,3602999,3607273,4274
554,3607390,3609108,1718
555,3610348,3615068,4720
556,3615567,3616566,999
557,3617286,3619319,2033
558,3675488,3675492,4
559,3699520,3699533,13
560,3720274,3720278,4
561,3753051,3753064,13
562,3753276,3753289,13
563,3753595,3753889,294
564,3760581,3760875,294
565,3760986,3760999,13
566,3774461,3774469,8
567,3787715,3787724,9
568,3790759,3791374,615
569,3792193,3792196,3
570,3792687,3793915,1228
571,3794317,3794805,488
572,3796494,3796497,3
573,3799842,3800457,615
574,3801274,3801277,3
575,3801780,3803008,1228
576,3803410,3803898,488
577,3815993,3816007,14
578,3816627,3816640,13
579,3817004,3817015,11
580,3822134,3822141,7
581,3826175,3826188,13
582,3826550,3826563,13
583,3827485,3827492,7
584,3831190,3831196,6
585,3837954,3837958,4
586,3862635,3862638,3
587,3870006,3870013,7
588,3876838,3876844,6
589,3888802,3888805,3
590,3895672,3895679,7
591,3937051,3937080,29
592,3937555,3937683,128
593,3939354,3939539,185
594,3941252,3941921,669
595,3942594,3943777,1183
596,3945448,3946117,669
597,3946790,3947787,997
598,3947839,3947973,134
599,3956463,3956467,4
600,3961483,3961488,5
601,3962411,3962415,4
602,3966041,3966047,6
603,3968407,3968411,4
604,3988107,3988881,774
605,3990792,3991242,450
606,3991841,3992654,813
607,3995804,3995812,8
608,4027099,4027102,3
609,4040303,4040311,8
610,4046380,4046385,5
611,4050790,4050796,6
612,4053982,4053986,4
613,4056451,4056458,7
614,4078578,4078583,5
615,4082221,4082229,8
616,4087528,4087535,7
617,4109579,4109582,3
618,4110318,4110353,35
619,4130256,4130589,333
620,4134075,4134080,5
621,4141509,4141512,3
622,4142657,4142663,6
623,4158833,4158962,129
624,4160039,4160844,805
625,4161559,4163140,1581
626,4163335,4163464,129
627,4164302,4164803,501
628,4166834,4166839,5
629,4179111,4179117,6
630,4192616,4192619,3
631,4218794,4218799,5
632,4221677,4221757,80
633,4222585,4222591,6
634,4270807,4270813,6
635,4280116,4280125,9
636,4284888,4284938,50
637,4286026,4286784,758
638,4287703,4288789,1086
639,4313591,4313600,9
640,4349274,4349279,5
641,4353530,4353539,9
642,4357001,4357005,4
643,4379496,4379502,6
644,4379654,4379659,5
645,4384128,4384459,331
646,4390953,4390957,4
647,4391878,4391891,13
648,4393049,4393056,7
649,4397076,4397080,4
650,4403339,4403346,7
651,4406666,4406671,5
652,4414475,4414480,5
653,4419996,4420000,4
654,4421853,4421861,8
655,4440273,4440277,4
656,4441526,4441531,5
657,4442950,4442955,5
658,4451972,4451980,8
659,4456859,4456863,4
660,4456994,4457000,6
661,4457327,4457334,7
662,4470374,4470381,7
663,4470390,4470405,15
664,4471238,4471244,6
665,4474559,4474566,7
666,4474670,4474673,3
667,4479451,4479457,6
668,4483700,4483711,11
669,4483751,4483756,5
670,4486440,4486444,4
671,4504259,4504262,3
672,4510910,4510914,4
673,4519766,4519776,10
674,4528470,4528476,6
675,4528520,4528525,5
676,4528795,4528801,6
677,4531992,4531997,5
678,4534394,4534402,8
679,4547429,4547434,5
680,4558278,4558295,17
681,4562212,4562225,13
682,4563054,4563060,6
683,4567419,4567432,13
684,4568102,4568113,11
685,4570048,4570052,4
686,4570198,4570204,6
687,4572579,4572586,7
688,4574153,4574157,4
689,4576491,4576494,3
690,4580724,4580733,9
691,4584700,4584706,6
692,4589039,4589045,6
693,4603007,4603015,8
694,4604794,4604800,6
695,4629495,4629558,63
696,4633633,4633696,63
697,4640733,4640738,5
698,4645920,4645925,5
699,4648181,4648189,8
700,4650474,4650480,6
701,4664141,4664158,17
702,4665263,4665266,3
703,4673518,4673523,5
704,4680701,4680709,8
705,4700500,4700535,35
706,4701624,4701627,3
707,4710155,4710160,5
708,4719291,4719296,5
709,4725561,4725568,7
710,4731918,4731953,35
711,4732377,4732628,251
712,4737959,4737964,5
713,4763464,4763486,22
714,4770635,4770641,6
715,4771029,4771032,3
716,4776262,4776278,16
717,4776573,4776866,293
718,4776997,4777013,16
719,4780302,4780306,4
720,4785519,4785522,3
721,4792485,4792520,35
722,4827221,4827225,4
723,4828115,4828289,174
724,4828720,4828874,154
725,4831272,4831915,643
726,4833721,4833919,198
727,4834998,4835172,174
728,4882174,4882180,6
729,4901799,4901804,5
730,4908176,4908181,5
731,4908471,4908474,3
732,4913903,4913908,5
733,4916719,4916726,7
734,4956333,4956339,6
735,4960639,4960643,4
736,4962602,4962609,7
737,4963372,4963381,9
738,4963856,4963861,5
739,4968212,4968217,5
740,4972296,4972300,4
741,4987250,4987254,4
742,4989788,4989794,6
743,4991599,4991802,203
744,4992694,4995480,2786
745,4995807,4995819,12
746,5002546,5002553,7
747,5010050,5010064,14
748,5010712,5010719,7
749,5014755,5014761,6
750,5021085,5021091,6
751,5021741,5021745,4
752,5045513,5045520,7
753,5046002,5046007,5
754,5048227,5048230,3
755,5051845,5051852,7
756,5059869,5059874,5
757,5059941,5059945,4
758,5063623,5063628,5
759,5087281,5087289,8
760,5097200,5097210,10
761,5098595,5098603,8
762,5099363,5099983,620
763,5100477,5100994,517
764,5101200,5101406,206
765,5102222,5102544,322
766,5175665,5175673,8
767,5202470,5202479,9
768,5204704,5204709,5
769,5227753,5227756,3
770,5247866,5247871,5
771,5248924,5248932,8
772,5256631,5256636,5
773,5269547,5269550,3
774,5290299,5290305,6
775,5290831,5290834,3
776,5297838,5297851,13
777,5308162,5308167,5
778,5318298,5318302,4
779,5322243,5322247,4
780,5331281,5331287,6
781,5334163,5334176,13
782,5338819,5339283,464
783,5344020,5344026,6
784,5352541,5352544,3
785,5355751,5355754,3
786,5389932,5391612,1680
787,5391842,5391971,129
788,5396065,5396099,34
789,5404794,5404798,4
790,5428475,5428481,6
791,5428893,5428900,7
792,5429713,5429726,13
793,5430718,5430723,5
794,5431420,5431426,6
795,5481763,5482908,1145
796,5484263,5484345,82
797,5496104,5496109,5
798,5501848,5501855,7
799,5521259,5523058,1799
800,5526773,5526906,133
801,5527010,5528341,1331
802,5546297,5546300,3
803,5555066,5555072,6
804,5568776,5568782,6
805,5591598,5591613,15
806,5606195,5606206,11
807,5620614,5620618,4
808,5626702,5626719,17
809,5628029,5628033,4
810,5631378,5631383,5
811,5632503,5632511,8
812,5632744,5632747,3
813,5641641,5641647,6
814,5643117,5643126,9
815,5645860,5645867,7
816,5647176,5647183,7
817,5660592,5660597,5
818,5665162,5665165,3
819,5670946,5670951,5
820,5674619,5674622,3
821,5675989,5675993,4
822,5683172,5683176,4
823,5685781,5685786,5
824,5686705,5686710,5
825,5687375,5687382,7
826,5690063,5690075,12
827,5695962,5695970,8
828,5700037,5700043,6
829,5700549,5700555,6
830,5700685,5700689,4
831,5705807,5705811,4
832,5705842,5705845,3
833,5718432,5718445,13
834,5723310,5723314,4
835,5727753,5728115,362
836,5728436,5730610,2174
837,5730779,5730876,97
838,5739691,5739702,11
839,5739785,5739796,11
840,5750617,5750623,6
841,5754184,5754188,4
842,5754324,5754328,4
843,5761369,5761373,4
844,5764681,5764687,6
845,5768681,5768700,19
846,5769161,5769174,13
847,5774868,5774872,4
848,5777723,5777728,5
849,5782406,5782411,5
850,5795386,5795392,6
851,5801610,5801613,3
852,5862645,5862650,5
853,5869618,5869623,5
854,5872629,5872642,13
855,5878827,5878833,6
856,5882864,5882874,10
857,5903677,5903682,5
858,5903853,5903858,5
859,5927522,5927572,50
860,5928661,5929419,758
861,5930338,5931424,1086
862,5938870,5938874,4
863,5940262,5940276,14
864,5941466,5941517,51
865,5941596,5941610,14
866,5942658,5942961,303
867,5945108,5945159,51
868,5945238,5945252,14
869,5945736,5946039,303
870,5955695,5955710,15
871,5956943,5956962,19
872,5958060,5958064,4
873,5962852,5962856,4
874,5985108,5985113,5
875,5986215,5986219,4
876,5989008,5989023,15
877,5989172,5989180,8
878,5997771,5997777,6
879,6000067,6000075,8
880,6002926,6002950,24
881,6003692,6003698,6
882,6008622,6008630,8
883,6010434,6010440,6
884,6015244,6015254,10
885,6021848,6021853,5
886,6022759,6022766,7
887,6022991,6023011,20
888,6025219,6025225,6
889,6025249,6025264,15
890,6028533,6028581,48
891,6029268,6029284,16
892,6030414,6030439,25
893,6045839,6045843,4
894,6049779,6049788,9
895,6052666,6052673,7
896,6056729,6056732,3
897,6061376,6061402,26
898,6061412,6061423,11
899,6070569,6070575,6
900,6084950,6084955,5
901,6086020,6086023,3
902,6094806,6094820,14
903,6115325,6115332,7
904,6145634,6145642,8
905,6145652,6145660,8
906,6159847,6159853,6
907,6164858,6164864,6
908,6168126,6168133,7
909,6171685,6172035,350
910,6178402,6178752,350
911,6184758,6184765,7
912,6199506,6199512,6
913,6220331,6220337,6
914,6228562,6228569,7
915,6233936,6233943,7
916,6238629,6238633,4
917,6240309,6240318,9
918,6244736,6244742,6
919,6250618,6250626,8
920,6258848,6258854,6
921,6261524,6261530,6
922,6263340,6263344,4
923,6268798,6268802,4
924,6268897,6268905,8
925,6271115,6271119,4
926,6271298,6271303,5
927,6272234,6272239,5
928,6277262,6277517,255
929,6277718,6277826,108
930,6277946,6278201,255
931,6278283,6278429,146
932,6278511,6278657,146
933,6285679,6285682,3
934,6290221,6290228,7
935,6290937,6290943,6
936,6291825,6291832,7
937,6294586,6294593,7
938,6304829,6304834,5
939,6312294,6312299,5
940,6355856,6355865,9
941,6356601,6356613,12
942,6363215,6363227,12
943,6365436,6365448,12
944,6371098,6371103,5
945,6371646,6371655,9
946,6372105,6372108,3
947,6389560,6389563,3
948,6393243,6394240,997
949,6395157,6395757,600
950,6396243,6396340,97
951,6402954,6402958,4
952,6429146,6429151,5
953,6430867,6430874,7
954,6445473,6445974,501
955,6446963,6448708,1745
956,6448947,6450759,1812
957,6456646,6456650,4
958,6508854,6508863,9
959,6525792,6525797,5
960,6528460,6528465,5
961,6537233,6537240,7
962,6539575,6539581,6
963,6542857,6542862,5
964,6547181,6547187,6
965,6551940,6551944,4
966,6556002,6556009,7
967,6562884,6565954,3070
968,6566434,6570601,4167
969,6584891,6584898,7
970,6605738,6606249,511
971,6606852,6608426,1574
972,6609533,6609539,6
973,6610896,6610902,6
974,6612606,6612613,7
975,6612656,6612665,9
976,6612818,6612824,6
977,6613229,6613237,8
978,6619413,6619418,5
979,6619559,6619565,6
980,6619653,6619657,4
981,6619722,6619735,13
982,6629148,6629151,3
983,6629678,6629686,8
984,6636609,6636614,5
985,6640578,6640581,3
986,6640650,6640653,3
987,6644870,6644874,4
988,6645083,6645090,7
989,6646639,6646645,6
990,6648962,6648970,8
991,6666222,6666225,3
992,6668651,6668654,3
993,6669293,6669299,6
994,6673359,6673366,7
995,6676133,6676139,6
996,6676957,6676966,9
997,6677556,6677561,5
998,6679910,6679916,6
999,6681775,6681779,4
1000,6689552,6689558,6
1001,6698004,6698009,5
1002,6706275,6706281,6
1003,6714313,6714345,32
1004,6723265,6723283,18
1005,6724434,6724437,3
1006,6729441,6729445,4
1007,6730472,6730477,5
1008,6733791,6733796,5
1009,6738071,6738075,4
1010,6742440,6742446,6
1011,6746817,6746822,5
1012,6747966,6747985,19
1013,6748746,6748749,3
1014,6751570,6751576,6
1015,6755076,6755081,5
1016,6775937,6775940,3
1017,6776451,6776458,7
1018,6779179,6779186,7
1019,6779734,6779738,4
1020,6782755,6782759,4
1021,6784817,6784824,7
1022,6799255,6799259,4
1023,6800442,6800448,6
1024,6813286,6813292,6
1025,6813303,6813310,7
1026,6814945,6814949,4
1027,6815135,6815139,4
1028,6828498,6828504,6
1029,6842713,6842716,3
1030,6854430,6854434,4
1031,6861992,6861998,6
1032,6920185,6920191,6
1033,6952786,6952791,5
1034,6965096,6965104,8
1035,6965451,6965468,17
1036,6967271,6967277,6
1037,6977437,6977442,5
1038,6979903,6979912,9
1039,6990278,6990286,8
1040,6993458,6993472,14
1041,6997040,6997046,6
1042,7001825,7001839,14
1043,7036978,7036981,3
1044,7050152,7050160,8
1045,7073299,7073302,3
1046,7073376,7073381,5
1047,7093091,7093097,6
1048,7096263,7096269,6
1049,7104127,7104132,5
1050,7126742,7130375,3633
1051,7131087,7131203,116
1052,7132279,7133420,1141
1053,7134502,7134531,29
1054,7141512,7141525,13
1055,7155254,7155260,6
1056,7156271,7156279,8
