index,startIdx,endIdx,length
0,432,647,215
1,647,878,231
2,1673,2291,618
3,2291,2464,173
4,2464,3684,1220
5,3684,5028,1344
6,6600,7679,1079
7,7679,7724,45
8,7724,8131,407
9,8131,8377,246
10,8377,8561,184
11,8561,8592,31
12,8592,9591,999
13,9591,9813,222
14,9813,9969,156
15,9969,10110,141
16,10110,10996,886
17,12164,12209,45
18,12209,12424,215
19,12424,12469,45
20,12469,12592,123
21,12592,12607,15
22,12607,12632,25
23,12632,12704,72
24,12704,13225,521
25,13225,13663,438
26,13663,13802,139
27,13802,14096,294
28,14096,14335,239
29,14335,14843,508
30,14843,14959,116
31,14959,15014,55
32,15014,15080,66
33,15080,15658,578
34,17287,17941,654
35,17941,18697,756
36,18697,18808,111
37,18808,19289,481
38,19289,19459,170
39,19459,19858,399
40,19858,20383,525
41,20383,20431,48
42,20431,20498,67
43,20498,21241,743
44,21241,21286,45
45,21286,21674,388
46,21674,21905,231
47,21905,22264,359
48,22264,22303,39
49,22303,22574,271
50,22574,23311,737
51,23311,23356,45
52,23356,23571,215
53,23571,23616,45
54,23616,23739,123
55,23739,23754,15
56,23754,23779,25
57,23779,23851,72
58,23851,24372,521
59,24372,24810,438
60,24810,24949,139
61,24949,25243,294
62,25243,25482,239
63,25482,25990,508
64,25990,26106,116
65,26106,26161,55
66,26161,26227,66
67,26227,26805,578
68,28793,29447,654
69,29447,30203,756
70,30203,30314,111
71,30314,30795,481
72,30795,30965,170
73,30965,31364,399
74,31364,31889,525
75,31889,31937,48
76,31937,32004,67
77,32004,32747,743
78,32747,32792,45
79,32792,33180,388
80,33180,33411,231
81,33411,33770,359
82,33770,33809,39
83,33809,34080,271
84,34080,34817,737
85,34817,34862,45
86,34862,35077,215
87,35077,35122,45
88,35122,35245,123
89,35245,35260,15
90,35260,35285,25
91,35285,35357,72
92,35357,35878,521
93,35878,36316,438
94,36316,36455,139
95,36455,36749,294
96,36749,36988,239
97,36988,37496,508
98,37496,37612,116
99,37612,37667,55
100,37667,37733,66
101,37733,38311,578
102,40464,41118,654
103,41118,41874,756
104,41874,41985,111
105,41985,42466,481
106,42466,42636,170
107,42636,43035,399
108,43035,43560,525
109,43560,43608,48
110,43608,43675,67
111,43675,44418,743
112,44418,44463,45
113,44463,44851,388
114,44851,45082,231
115,45082,45441,359
116,45441,45480,39
117,45480,45751,271
118,45751,46488,737
119,46488,46533,45
120,46533,46748,215
121,46748,46793,45
122,46793,46916,123
123,46916,46931,15
124,46931,46956,25
125,46956,47028,72
126,47028,47549,521
127,47549,47987,438
128,47987,48126,139
129,48126,48420,294
130,48420,48659,239
131,48659,49167,508
132,49167,49283,116
133,49283,49338,55
134,49338,49404,66
135,49404,49982,578
136,50854,51072,218
137,51072,51507,435
138,55655,56999,1344
139,59577,59795,218
140,59795,60230,435
141,64052,64193,141
142,66669,67748,1079
143,67748,67793,45
144,67793,68200,407
145,68200,68446,246
146,68446,68630,184
147,68630,68661,31
148,68661,69660,999
149,69660,69882,222
150,69882,70038,156
151,70038,70179,141
152,70179,71065,886
153,74081,74296,215
154,74296,74527,231
155,75322,75940,618
156,75940,76113,173
157,76113,77333,1220
158,77333,78677,1344
159,80408,81900,1492
160,82330,82361,31
161,83367,83413,46
162,86736,88228,1492
163,88658,88689,31
164,89695,89741,46
165,97861,98268,407
166,98268,98514,246
167,98514,98698,184
168,98698,100279,1581
169,100279,100299,20
170,100299,100344,45
171,100344,101247,903
172,103827,104234,407
173,104234,104480,246
174,104480,104664,184
175,104664,106245,1581
176,106245,106265,20
177,106265,106310,45
178,106310,107213,903
179,118881,119127,246
180,119127,119311,184
181,120892,120912,20
182,120912,120957,45
183,129860,129865,5
184,130322,130328,6
185,132922,132927,5
186,135084,135090,6
187,151460,151466,6
188,155549,155577,28
189,158557,158563,6
190,162244,162257,13
191,162257,162824,567
192,162824,162869,45
193,162869,163028,159
194,163638,163660,22
195,163660,163720,60
196,163720,163843,123
197,163843,163967,124
198,163967,164678,711
199,164678,164795,117
200,164795,165514,719
201,165514,165701,187
202,165870,166432,562
203,166432,166514,82
204,166514,167012,498
205,167012,167753,741
206,168430,168446,16
207,196304,196308,4
208,197215,197219,4
209,199215,199221,6
210,256028,256032,4
211,258558,258564,6
212,282469,282485,16
213,282485,282491,6
214,286673,286679,6
215,287357,287361,4
216,287415,287420,5
217,297093,297619,526
218,297619,297838,219
219,297838,297868,30
220,299778,300229,451
221,300229,301045,816
222,301045,301203,158
223,301203,301212,9
224,301212,301435,223
225,301435,301508,73
226,301508,301557,49
227,301557,301569,12
228,309997,310005,8
229,323034,323262,228
230,327880,327884,4
231,328260,328264,4
232,337459,337465,6
233,337713,337719,6
234,342229,342238,9
235,347949,347955,6
236,369398,369406,8
237,371400,371404,4
238,371404,371408,4
239,371408,371412,4
240,372377,372381,4
241,378943,378950,7
242,383601,383608,7
243,383789,383793,4
244,384864,384870,6
245,384898,384905,7
246,387055,387064,9
247,387078,387082,4
248,387082,387087,5
249,387640,387645,5
250,392140,392146,6
251,394952,394960,8
252,395618,395629,11
253,395629,395638,9
254,401292,401296,4
255,409373,409382,9
256,420325,420333,8
257,420333,420341,8
258,421151,421159,8
259,422281,422288,7
260,422414,422420,6
261,422613,422617,4
262,424123,424130,7
263,430725,430730,5
264,435373,435378,5
265,435378,435385,7
266,435676,435682,6
267,444503,444510,7
268,444510,444516,6
269,444516,444522,6
270,448713,448719,6
271,448719,448725,6
272,450838,450842,4
273,457638,457644,6
274,462783,462787,4
275,464979,464987,8
276,477180,477186,6
277,493450,493455,5
278,509491,509498,7
279,510094,510102,8
280,518833,518839,6
281,526889,526894,5
282,526894,526899,5
283,526899,526904,5
284,528393,528399,6
285,550201,550208,7
286,553342,553354,12
287,553354,553403,49
288,553403,553476,73
289,553476,553699,223
290,553699,553708,9
291,553708,553866,158
292,554682,555133,451
293,557043,557073,30
294,557073,557292,219
295,557292,557818,526
296,557818,558624,806
297,563637,563785,148
298,563785,563933,148
299,563933,564081,148
300,564081,564229,148
301,564229,564377,148
302,564377,564525,148
303,564525,564673,148
304,564673,564821,148
305,564821,564969,148
306,564969,565117,148
307,565117,565265,148
308,565265,565413,148
309,567197,567204,7
310,573320,573324,4
311,578735,578742,7
312,578742,578749,7
313,578749,578756,7
314,578756,578763,7
315,591436,591442,6
316,598506,598513,7
317,599997,600002,5
318,627173,627180,7
319,635426,635431,5
320,637684,637689,5
321,637842,637850,8
322,640079,640085,6
323,644228,644451,223
324,644451,644547,96
325,644762,644985,223
326,644985,645081,96
327,646439,646445,6
328,651404,651410,6
329,653572,653579,7
330,653694,653700,6
331,653700,653706,6
332,653706,653712,6
333,665675,665681,6
334,667718,667722,4
335,684471,684477,6
336,684477,684483,6
337,688037,688041,4
338,697265,697273,8
339,705285,705291,6
340,705291,705307,16
341,710691,710707,16
342,721739,721745,6
343,733671,733677,6
344,733677,733683,6
345,754687,754691,4
346,754872,754876,4
347,769070,769077,7
348,769403,769410,7
349,770242,770248,6
350,788078,788086,8
351,798664,798673,9
352,805021,805026,5
353,808341,808346,5
354,808346,808351,5
355,808351,808357,6
356,813194,813324,130
357,813324,813639,315
358,814400,814416,16
359,814654,814741,87
360,814741,814786,45
361,815202,815206,4
362,815206,815920,714
363,815920,816400,480
364,829025,829038,13
365,829038,829605,567
366,829605,829650,45
367,829650,829809,159
368,829809,830700,891
369,830700,830931,231
370,830931,831453,522
371,831453,831945,492
372,831945,832026,81
373,832026,832330,304
374,832330,832352,22
375,832352,832412,60
376,832412,832535,123
377,832535,832659,124
378,832659,833370,711
379,833370,833487,117
380,833829,833911,82
381,833911,834409,498
382,834409,835139,730
383,836290,836298,8
384,876328,876336,8
385,907963,907988,25
386,908712,908719,7
387,911544,911549,5
388,924896,924900,4
389,938202,938208,6
390,977768,977777,9
391,985481,985488,7
392,1025455,1025464,9
393,1035309,1035321,12
394,1035321,1035370,49
395,1035370,1035443,73
396,1035443,1035666,223
397,1035666,1035675,9
398,1035675,1035833,158
399,1035833,1036649,816
400,1036649,1037100,451
401,1039010,1039040,30
402,1039040,1039259,219
403,1049034,1049038,4
404,1062159,1062165,6
405,1065260,1065273,13
406,1065273,1065840,567
407,1065840,1065885,45
408,1065885,1066044,159
409,1066044,1066935,891
410,1066935,1067166,231
411,1068180,1068202,22
412,1068202,1068262,60
413,1068262,1068385,123
414,1068385,1068509,124
415,1068509,1069220,711
416,1069220,1069337,117
417,1069337,1070056,719
418,1070056,1070243,187
419,1070243,1070412,169
420,1070412,1070974,562
421,1070974,1071056,82
422,1071056,1071554,498
423,1071554,1072295,741
424,1077239,1077248,9
425,1077408,1077417,9
426,1079579,1079583,4
427,1080178,1080182,4
428,1093267,1093271,4
429,1095518,1095523,5
430,1108759,1108768,9
431,1125488,1125493,5
432,1125502,1125511,9
433,1145095,1145111,16
434,1146259,1146265,6
435,1181252,1181259,7
436,1188720,1188727,7
437,1194514,1194520,6
438,1212566,1212572,6
439,1212572,1212578,6
440,1215456,1215460,4
441,1221185,1221191,6
442,1223287,1223295,8
443,1230149,1230156,7
444,1239374,1239379,5
445,1246321,1246327,6
446,1251970,1251974,4
447,1261516,1261521,5
448,1261521,1261526,5
449,1261526,1261531,5
450,1262312,1262319,7
451,1283252,1283256,4
452,1297176,1297180,4
453,1298787,1298794,7
454,1298835,1298841,6
455,1298841,1298847,6
456,1298847,1298853,6
457,1301012,1301016,4
458,1303787,1303794,7
459,1303794,1303801,7
460,1303801,1303808,7
461,1303808,1303816,8
462,1307479,1307486,7
463,1307486,1307493,7
464,1318112,1318122,10
465,1318122,1318127,5
466,1324047,1324053,6
467,1327898,1327902,4
468,1329825,1329832,7
469,1333836,1333843,7
470,1334126,1334133,7
471,1334133,1334140,7
472,1340717,1340724,7
473,1342238,1342242,4
474,1345075,1345079,4
475,1353766,1353773,7
476,1358052,1358139,87
477,1358735,1358755,20
478,1359560,1359923,363
479,1359923,1360243,320
480,1360243,1360558,315
481,1360558,1361500,942
482,1361500,1361582,82
483,1361582,1361712,130
484,1361712,1361785,73
485,1362101,1362418,317
486,1364592,1364882,290
487,1364882,1365209,327
488,1365209,1365511,302
489,1365511,1365957,446
490,1365957,1365977,20
491,1366450,1366469,19
492,1366469,1366552,83
493,1382327,1382332,5
494,1382332,1382337,5
495,1382352,1382357,5
496,1382382,1382387,5
497,1382835,1382841,6
498,1383557,1383567,10
499,1383699,1383704,5
500,1385642,1385647,5
501,1387723,1387732,9
502,1389410,1389415,5
503,1397189,1397194,5
504,1397194,1397204,10
505,1402025,1402029,4
506,1402029,1402033,4
507,1404005,1404010,5
508,1427842,1427850,8
509,1433710,1433714,4
510,1440728,1440735,7
511,1451064,1451070,6
512,1451521,1451526,5
513,1451526,1451531,5
514,1453055,1453059,4
515,1454999,1455003,4
516,1460267,1460272,5
517,1464057,1464064,7
518,1472339,1472348,9
519,1492001,1492009,8
520,1492037,1492044,7
521,1515571,1515576,5
522,1517069,1517074,5
523,1518235,1518258,23
524,1518742,1518884,142
525,1518884,1519184,300
526,1519184,1519436,252
527,1519436,1519715,279
528,1519715,1519805,90
529,1521163,1521180,17
530,1521180,1521577,397
531,1521577,1521613,36
532,1521613,1521705,92
533,1521795,1522431,636
534,1522677,1522683,6
535,1522683,1523106,423
536,1523106,1523142,36
537,1523202,1523238,36
538,1532759,1532767,8
539,1535025,1535033,8
540,1559310,1559315,5
541,1564559,1564564,5
542,1568368,1568451,83
543,1591497,1591505,8
544,1592960,1592967,7
545,1593760,1593764,4
546,1600368,1600376,8
547,1601933,1601938,5
548,1603447,1603455,8
549,1604101,1604106,5
550,1611602,1611610,8
551,1611939,1611944,5
552,1611967,1611974,7
553,1611974,1611981,7
554,1617037,1617042,5
555,1621046,1621051,5
556,1627619,1627627,8
557,1628079,1628166,87
558,1629602,1629724,122
559,1630280,1630302,22
560,1630302,1630419,117
561,1631048,1631387,339
562,1631387,1631435,48
563,1631435,1631595,160
564,1631595,1631666,71
565,1631666,1631844,178
566,1631844,1632183,339
567,1632694,1632705,11
568,1632705,1633145,440
569,1633145,1633150,5
570,1634995,1635082,87
571,1635512,1635517,5
572,1640013,1640020,7
573,1640689,1640693,4
574,1642150,1642155,5
575,1650516,1650523,7
576,1650523,1650529,6
577,1652739,1652746,7
578,1654822,1654831,9
579,1659794,1659800,6
580,1671091,1671098,7
581,1673283,1673289,6
582,1673289,1673295,6
583,1679401,1679410,9
584,1679410,1679416,6
585,1681100,1681105,5
586,1684459,1684466,7
587,1688256,1688266,10
588,1690264,1690270,6
589,1690381,1690388,7
590,1691681,1691687,6
591,1706623,1706629,6
592,1737412,1738153,741
593,1738153,1738651,498
594,1738651,1738733,82
595,1738733,1739295,562
596,1739295,1739464,169
597,1739464,1739651,187
598,1739651,1740370,719
599,1740487,1741198,711
600,1741198,1741322,124
601,1741322,1741445,123
602,1741445,1741505,60
603,1741505,1741527,22
604,1741527,1741831,304
605,1741831,1741912,81
606,1741912,1742404,492
607,1742926,1743157,231
608,1743157,1744048,891
609,1744048,1744207,159
610,1744207,1744252,45
611,1744252,1744819,567
612,1744819,1744832,13
613,1746328,1746334,6
614,1757669,1757674,5
615,1794548,1794554,6
616,1801174,1801179,5
617,1818910,1818926,16
618,1818926,1818932,6
619,1825730,1825734,4
620,1834806,1834812,6
621,1843419,1843424,5
622,1846699,1846704,5
623,1846704,1846714,10
624,1846714,1846719,5
625,1854008,1854014,6
626,1854740,1854747,7
627,1854747,1854754,7
628,1856656,1856661,5
629,1857482,1857489,7
630,1869673,1869678,5
631,1871460,1871470,10
632,1882675,1882682,7
633,1889424,1889432,8
634,1893503,1893507,4
635,1902668,1902676,8
636,1905271,1905280,9
637,1920719,1920728,9
638,1930749,1930970,221
639,1930970,1931121,151
640,1931121,1931501,380
641,1931501,1931700,199
642,1932134,1932160,26
643,1932160,1932611,451
644,1932951,1933234,283
645,1934117,1934340,223
646,1935235,1935975,740
647,1937201,1937480,279
648,1937746,1937967,221
649,1939086,1939095,9
650,1939812,1939818,6
651,1955190,1955213,23
652,1956666,1956699,33
653,1956699,1956708,9
654,1956708,1956808,100
655,1956808,1956841,33
656,1956841,1956915,74
657,1956915,1957314,399
658,1957314,1958181,867
659,1958181,1958784,603
660,1958784,1958825,41
661,1958825,1959057,232
662,1962649,1962672,23
663,1982741,1982747,6
664,1983653,1983660,7
665,1997046,1997050,4
666,2002692,2002698,6
667,2002698,2002704,6
668,2007166,2007172,6
669,2013715,2013720,5
670,2017941,2017945,4
671,2017945,2017953,8
672,2018218,2018223,5
673,2024552,2024560,8
674,2036657,2036667,10
675,2039509,2039513,4
676,2045569,2045575,6
677,2046817,2046823,6
678,2048346,2048353,7
679,2050070,2050080,10
680,2050462,2050469,7
681,2050537,2050541,4
682,2050954,2050962,8
683,2054372,2054378,6
684,2060777,2060783,6
685,2062482,2062489,7
686,2067257,2067265,8
687,2068006,2068011,5
688,2068647,2068655,8
689,2080758,2080766,8
690,2083274,2083281,7
691,2085002,2085011,9
692,2091162,2091168,6
693,2091168,2091174,6
694,2091328,2091337,9
695,2109287,2109291,4
696,2112998,2113004,6
697,2114016,2114022,6
698,2117101,2117106,5
699,2117436,2117812,376
700,2117812,2117820,8
701,2120735,2120810,75
702,2121937,2121941,4
703,2127379,2127755,376
704,2127755,2127763,8
705,2130639,2130714,75
706,2133925,2133931,6
707,2144445,2144454,9
708,2149267,2149271,4
709,2154081,2154087,6
710,2154087,2154093,6
711,2155026,2155031,5
712,2156640,2156645,5
713,2157191,2157197,6
714,2188098,2188104,6
715,2195124,2195129,5
716,2195129,2195136,7
717,2195475,2195481,6
718,2199957,2199966,9
719,2200122,2200131,9
720,2204447,2204452,5
721,2219688,2219695,7
722,2219782,2219787,5
723,2219914,2219918,4
724,2224461,2224470,9
725,2224719,2224723,4
726,2224723,2224728,5
727,2230838,2230844,6
728,2248773,2248778,5
729,2248778,2248784,6
730,2249654,2249661,7
731,2250691,2250696,5
732,2253324,2253330,6
733,2254257,2254262,5
734,2254811,2254817,6
735,2255630,2255636,6
736,2261951,2261957,6
737,2266899,2266906,7
738,2271703,2271709,6
739,2295134,2295140,6
740,2302639,2302644,5
741,2302644,2302654,10
742,2308859,2309331,472
743,2309331,2309556,225
744,2309556,2311509,1953
745,2311509,2311516,7
746,2311516,2311723,207
747,2311723,2311849,126
748,2311849,2311897,48
749,2311897,2311930,33
750,2312409,2312719,310
751,2312719,2312869,150
752,2312869,2312978,109
753,2312978,2313243,265
754,2313243,2313663,420
755,2313663,2313798,135
756,2313798,2314663,865
757,2314663,2316016,1353
758,2316016,2316161,145
759,2316161,2316270,109
760,2316270,2316373,103
761,2316475,2316577,102
762,2316577,2316679,102
763,2316679,2316968,289
764,2317567,2317573,6
765,2336822,2336829,7
766,2342037,2342041,4
767,2343113,2343118,5
768,2344036,2344045,9
769,2360186,2360193,7
770,2365212,2365220,8
771,2365793,2365800,7
772,2374993,2375001,8
773,2375862,2375870,8
774,2376895,2376900,5
775,2380258,2380263,5
776,2387155,2387161,6
777,2387161,2387167,6
778,2387330,2387338,8
779,2387338,2387342,4
780,2387342,2387346,4
781,2391049,2391053,4
782,2395329,2395336,7
783,2401324,2401337,13
784,2401337,2401904,567
785,2401904,2401949,45
786,2401949,2402108,159
787,2402108,2402999,891
788,2402999,2403230,231
789,2403230,2403752,522
790,2403752,2404244,492
791,2404244,2404325,81
792,2404325,2404629,304
793,2404629,2404651,22
794,2404651,2404711,60
795,2404711,2404834,123
796,2404834,2404958,124
797,2404958,2405669,711
798,2405669,2405786,117
799,2406505,2406692,187
800,2407195,2407936,741
801,2411996,2412005,9
802,2416268,2416273,5
803,2416273,2416279,6
804,2416279,2416288,9
805,2425136,2425142,6
806,2430624,2430628,4
807,2432734,2432742,8
808,2433782,2433789,7
809,2435337,2435345,8
810,2438866,2438873,7
811,2438873,2438885,12
812,2439585,2439594,9
813,2439663,2439670,7
814,2451162,2451166,4
815,2454202,2454209,7
816,2454967,2454974,7
817,2461228,2461233,5
818,2464673,2464680,7
819,2464680,2464687,7
820,2467498,2467506,8
821,2474499,2474507,8
822,2474875,2474880,5
823,2481210,2481217,7
824,2482114,2482123,9
825,2482756,2482763,7
826,2485865,2485873,8
827,2488667,2488675,8
828,2500787,2500791,4
829,2521331,2521339,8
830,2530012,2530018,6
831,2531363,2531369,6
832,2531369,2531375,6
833,2535615,2535625,10
834,2537760,2537766,6
835,2538309,2538314,5
836,2538314,2538319,5
837,2540169,2540173,4
838,2540394,2540399,5
839,2544603,2544612,9
840,2549061,2549068,7
841,2578393,2578400,7
842,2579817,2579823,6
843,2580478,2580483,5
844,2580483,2580488,5
845,2582543,2582549,6
846,2584895,2584899,4
847,2587117,2587124,7
848,2598213,2598218,5
849,2598218,2598223,5
850,2600936,2600943,7
851,2601563,2601570,7
852,2601686,2601693,7
853,2607193,2607200,7
854,2610468,2611066,598
855,2611066,2611451,385
856,2611451,2612565,1114
857,2612565,2613332,767
858,2613332,2613756,424
859,2613756,2615210,1454
860,2615210,2615685,475
861,2616997,2617267,270
862,2622253,2622259,6
863,2623037,2623043,6
864,2631329,2631334,5
865,2631334,2631339,5
866,2631339,2631344,5
867,2660084,2660091,7
868,2660091,2660098,7
869,2662742,2662749,7
870,2667276,2667281,5
871,2667281,2667289,8
872,2667327,2667332,5
873,2667552,2667556,4
874,2667556,2667560,4
875,2667560,2667568,8
876,2670747,2670753,6
877,2672338,2672344,6
878,2673111,2673116,5
879,2673116,2673120,4
880,2673378,2673384,6
881,2677178,2677184,6
882,2678656,2678660,4
883,2689883,2689891,8
884,2727920,2727924,4
885,2733107,2733113,6
886,2771041,2771049,8
887,2782331,2782339,8
888,2791964,2791969,5
889,2792469,2792477,8
890,2813047,2813053,6
891,2825355,2825524,169
892,2825524,2825711,187
893,2825711,2826430,719
894,2826430,2826547,117
895,2826547,2827258,711
896,2827258,2827382,124
897,2827382,2827505,123
898,2827505,2827565,60
899,2827565,2827587,22
900,2827587,2827891,304
901,2827891,2827972,81
902,2827972,2828464,492
903,2828464,2828986,522
904,2828986,2829217,231
905,2829217,2830108,891
906,2830108,2830267,159
907,2830267,2830312,45
908,2830312,2830879,567
909,2830879,2830892,13
910,2845060,2845082,22
911,2845082,2845105,23
912,2845105,2845252,147
913,2846411,2846637,226
914,2846637,2846862,225
915,2848802,2849954,1152
916,2849954,2849969,15
917,2849969,2850182,213
918,2850182,2850191,9
919,2850191,2850246,55
920,2850852,2850861,9
921,2850861,2850964,103
922,2851743,2851844,101
923,2851971,2851993,22
924,2851993,2852016,23
925,2852016,2852163,147
926,2897811,2897816,5
927,2908773,2908781,8
928,2920791,2920795,4
929,2929693,2929697,4
930,2937472,2937478,6
931,2937478,2937490,12
932,2940472,2940479,7
933,2941122,2941126,4
934,2945990,2945996,6
935,2946470,2946478,8
936,2946865,2946872,7
937,2946872,2946879,7
938,2947012,2947017,5
939,2947106,2947115,9
940,2964209,2964213,4
941,2979605,2979609,4
942,2985753,2985762,9
943,2985771,2985780,9
944,2987469,2987475,6
945,2997469,2997475,6
946,3004408,3004415,7
947,3018209,3018216,7
948,3018216,3018226,10
949,3018226,3018236,10
950,3020264,3020269,5
951,3028706,3028710,4
952,3064447,3064455,8
953,3064455,3064463,8
954,3064463,3064471,8
955,3075804,3075961,157
956,3075961,3076027,66
957,3076750,3077267,517
958,3077267,3077614,347
959,3077614,3077641,27
960,3077641,3077693,52
961,3077693,3077800,107
962,3077800,3077881,81
963,3077881,3078019,138
964,3078019,3078030,11
965,3078030,3078625,595
966,3078625,3078676,51
967,3078676,3079204,528
968,3079204,3079270,66
969,3079270,3079916,646
970,3079916,3080140,224
971,3080140,3080476,336
972,3080723,3080880,157
973,3086631,3086638,7
974,3136945,3136950,5
975,3136950,3136955,5
976,3149755,3149765,10
977,3149779,3149787,8
978,3150077,3150085,8
979,3150313,3150322,9
980,3163987,3163994,7
981,3169089,3169094,5
982,3171984,3171991,7
983,3178656,3178877,221
984,3185745,3185966,221
985,3188588,3188595,7
986,3188711,3188717,6
987,3210192,3210198,6
988,3218807,3219548,741
989,3219548,3220046,498
990,3220046,3220128,82
991,3220851,3221038,187
992,3221757,3221874,117
993,3221874,3222585,711
994,3222585,3222709,124
995,3222709,3222832,123
996,3222832,3222892,60
997,3222892,3222914,22
998,3222914,3223218,304
999,3223218,3223299,81
1000,3223299,3223791,492
1001,3224313,3224544,231
1002,3225429,3225588,159
1003,3225588,3225633,45
1004,3225633,3226200,567
1005,3226200,3226213,13
1006,3241579,3241584,5
1007,3268198,3268202,4
1008,3268202,3268206,4
1009,3301148,3301153,5
1010,3314973,3314977,4
1011,3315058,3315065,7
1012,3340991,3340995,4
1013,3352282,3352288,6
1014,3353999,3354006,7
1015,3418938,3418943,5
1016,3434333,3434340,7
1017,3437197,3437203,6
1018,3438328,3438337,9
1019,3457975,3457979,4
1020,3457979,3457983,4
1021,3457983,3457987,4
1022,3457987,3457991,4
1023,3467843,3467850,7
1024,3490630,3490636,6
1025,3490636,3490644,8
1026,3493393,3494123,730
1027,3494123,3494621,498
1028,3494621,3494703,82
1029,3495265,3495434,169
1030,3495434,3495621,187
1031,3495621,3496340,719
1032,3496340,3496457,117
1033,3496457,3497168,711
1034,3497168,3497292,124
1035,3497292,3497415,123
1036,3497415,3497475,60
1037,3497475,3497497,22
1038,3497497,3497801,304
1039,3497801,3497882,81
1040,3497882,3498374,492
1041,3498374,3498896,522
1042,3498896,3499127,231
1043,3499127,3500018,891
1044,3500018,3500177,159
1045,3500177,3500222,45
1046,3500789,3500802,13
1047,3516863,3516871,8
1048,3517478,3517483,5
1049,3530295,3530303,8
1050,3549417,3549424,7
1051,3597782,3599038,1256
1052,3599038,3599051,13
1053,3599051,3599618,567
1054,3599618,3599663,45
1055,3599663,3599822,159
1056,3599822,3600713,891
1057,3600713,3600944,231
1058,3601464,3601760,296
1059,3601760,3602501,741
1060,3602999,3603081,82
1061,3603081,3603643,562
1062,3603643,3603812,169
1063,3603812,3603999,187
1064,3603999,3604718,719
1065,3604718,3604835,117
1066,3604835,3605546,711
1067,3605546,3605670,124
1068,3605670,3605793,123
1069,3605793,3605853,60
1070,3605853,3605875,22
1071,3605875,3606179,304
1072,3606179,3606260,81
1073,3606260,3606752,492
1074,3606752,3607274,522
1075,3607390,3608109,719
1076,3608109,3608296,187
1077,3608296,3608465,169
1078,3608465,3609027,562
1079,3609027,3609109,82
1080,3610348,3611604,1256
1081,3611604,3611617,13
1082,3611617,3612184,567
1083,3612184,3612229,45
1084,3612229,3612388,159
1085,3612388,3613279,891
1086,3613279,3613510,231
1087,3613510,3614032,522
1088,3614032,3614328,296
1089,3614328,3615069,741
1090,3615567,3615649,82
1091,3615649,3616211,562
1092,3616211,3616380,169
1093,3616380,3616567,187
1094,3617286,3617403,117
1095,3617403,3618114,711
1096,3618114,3618238,124
1097,3618238,3618361,123
1098,3618361,3618421,60
1099,3618421,3618443,22
1100,3618443,3618747,304
1101,3618747,3618828,81
1102,3618828,3619320,492
1103,3675488,3675493,5
1104,3699520,3699534,14
1105,3720274,3720279,5
1106,3753051,3753065,14
1107,3753276,3753290,14
1108,3753595,3753890,295
1109,3760581,3760876,295
1110,3760986,3761000,14
1111,3774461,3774470,9
1112,3787715,3787720,5
1113,3787720,3787725,5
1114,3790759,3791233,474
1115,3791233,3791252,19
1116,3791252,3791304,52
1117,3791304,3791375,71
1118,3792193,3792197,4
1119,3792687,3793619,932
1120,3793619,3793796,177
1121,3793796,3793916,120
1122,3794317,3794409,92
1123,3794409,3794423,14
1124,3794423,3794436,13
1125,3794436,3794800,364
1126,3794800,3794806,6
1127,3796494,3796498,4
1128,3799842,3800316,474
1129,3800316,3800335,19
1130,3800335,3800387,52
1131,3800387,3800458,71
1132,3801274,3801278,4
1133,3801780,3802712,932
1134,3802712,3802889,177
1135,3802889,3803009,120
1136,3803410,3803502,92
1137,3803502,3803516,14
1138,3803516,3803529,13
1139,3803529,3803893,364
1140,3803893,3803899,6
1141,3815993,3816001,8
1142,3816001,3816008,7
1143,3816627,3816634,7
1144,3816634,3816641,7
1145,3817004,3817016,12
1146,3822134,3822142,8
1147,3826175,3826182,7
1148,3826182,3826189,7
1149,3826550,3826557,7
1150,3826557,3826564,7
1151,3827485,3827493,8
1152,3831190,3831197,7
1153,3837954,3837959,5
1154,3862635,3862639,4
1155,3870006,3870014,8
1156,3876838,3876845,7
1157,3888802,3888806,4
1158,3895672,3895680,8
